"id","name","description"
"41","Via Ferrata Malamort","Via ferrata de longueur moyenne proposant deux parcours distincts adaptés du débutant au confirmé, située à 425 mètres d'altitude dans un environnement naturel de forêt et cascade. Le parcours offre deux niveaux de difficulté : un itinéraire PD (peu difficile) pour les débutants d'une durée de 1h à 1h30, et un parcours D (difficile) pour les confirmés d'une durée de 1h30 à 2h. Le site dispose de 3 tyroliennes non évitables (sauf si échappatoire pris). Gaz faible, approche facile. Via ferrata accessible toute l'année dans le cadre verdoyant du Tarn. Contact : Tarn Tourisme ou Mairie de Durfort pour informations complémentaires."
"42","Via Ferrata de Rochefort","Via ferrata très sportive de niveau AD à ED avec plusieurs itinéraires de difficulté variable. L'entrée se fait par un passage étroit appelé ""le canyon"" (attention, peu évident à trouver par manque de balisage au départ). Une fois sorti, vue spectaculaire sur toute la vallée de Florac. Le parcours propose passerelles et pont de singe avant de se séparer en deux : itinéraire facile rejoignant la grande passerelle, ou difficile avec escalades. Après la grande passerelle, nouvelle séparation : parcours facile en traversée ou difficile par belle escalade dans le Ron de Picar. Ces deux itinéraires vertigineux mènent à une tyrolienne facultative de 50m avec poulie rapide. On arrive ensuite dans le grand pilier du Rochefort avec passage en vire à mi-hauteur puis choix entre sortie ultra sportive ""la casquette"" (à ne pas prendre à la légère) ou sortie plus tranquille par petit canyon intime et moins aérien. Durée 3-4h, gaz fort, exposition Est/Nord-Est. Accès : 35-45 min depuis parking Col de Pierre Plate. Location matériel : Loc Via 48 (15â‚¬/demi-journée)."
"43","Via Ferrata La Grande Falaise","Via ferrata historique créée en 1988 et modernisée depuis, offrant un panorama grandiose sur la vallée de Freissinières. Parcours long de 1000 mètres avec 200 mètres de dénivelé entre 1400m et 1600m d'altitude dans un environnement exceptionnel de haute montagne, falaise et forêt. Le parcours propose deux niveaux de difficulté AD et D adaptés du débutant au confirmé, sur rocher calcaire en exposition Sud avec un gaz fort. Durée d'ascension de 2 à 3 heures avec une approche courte de 10 minutes depuis le parking situé à 1330m (se garer en bordure de route dans l'épingle). Retour en 1 heure environ. Cette via longue et variée permet de découvrir la beauté sauvage des Hautes-Alpes dans un cadre préservé. Gare SNCF de L'Argentière-les-Ã‰crins à proximité."
"44","Via Ferrata Chaos de Coumély","Très belle via ferrata aérienne et plutôt sportive de niveau TD (voire TD+ si l'on emprunte le passage en noir sur le topo) dans un très beau cadre de haute montagne. Parcours de longueur moyenne de 400 mètres avec 180 mètres de dénivelé entre 1200m et 1380m d'altitude. La progression se fait essentiellement via des barreaux avec un passage sur passerelle. Gaz fort offrant des sensations aériennes remarquables. Durée moyenne de 2 heures, pouvant aller jusqu'à 4 heures en haute saison en cas d'affluence et de groupes engagés dans la via. Approche facile. Via ferrata en accès libre et gratuite sous la responsabilité des pratiquants, aucun accueil sur place. Possibilité de sorties encadrées par les guides de la vallée. Accessible toute l'année hors période d'enneigement. Contacter l'office de tourisme pour vérifier les conditions."
"45","Via Ferrata Le Siala","Via ferrata située sur une falaise dominant les Gorges du Valentin, offrant une autre façon d'escalader avec des sensations similaires à l'escalade. Parcours de 250 mètres avec 120 mètres de dénivelé entre 998m et 1118m d'altitude, proposant deux niveaux de difficulté D et TD selon les parcours. Le site offre des ponts de singe et des panoramas à couper le souffle dans une ambiance unique mi-canyon mi-aérienne. Exposition Nord/Nord-Ouest avec un gaz moyen. Approche facile. Cette via permet de découvrir les spectaculaires Gorges du Valentin dans un environnement de canyon et forêt. Réservé aux pratiquants confirmés. Ouverte hors période d'enneigement, non praticable l'hiver. Contacter l'office de tourisme pour vérifier les conditions. Possibilité de réserver avec un guide et l'équipement."
"46","Via Ferrata La Guinguette - L'Itinéraire des Buis","Via ferrata des montagnes de l'Ain entre Lyon et Genève offrant des points de vue magnifiques que seuls les grimpeurs peuvent admirer. L'Itinéraire des Buis de 700 mètres débute par une belle traversée très facile dans les buis avec possibilité de s'échapper vers sortie facile ou échelle de perroquet. Pour les plus aguéris, le parcours débouche sur la roche avec niveau progressif franchissant l'athlétique ""surplomb jaune"". Une strate vertigineuse permet l'accès au ""jardin"". La remontée aérienne accède à la superbe passerelle du ""saut du mouton"" procurant quelques émotions. Progression en face Sud-Ouest sur petit pilier suivi d'une traversée et dernier mur athlétique. Sortie verticale au Parc de Brangon (côte 732). Altitude 720m, exposition Ouest (soleil à partir de midi), gaz fort. Durée 1h30 à 2h30, approche 5 min, retour 10 min. Gare SNCF Tenay-Hauteville."
"47","Via Ferrata La Guinguette - L'Itinéraire de la Grotte","Via ferrata des montagnes de l'Ain entre Lyon et Genève offrant des points de vue magnifiques. L'Itinéraire de la Grotte de 350 mètres propose une succession de petits passages ludiques et variés : pont de singe, échelles, poutres. Parcours avec échappatoire permettant d'adapter selon le temps ou le niveau. 2 possibilités de sortie : sortie facile ou échelle de perroquet un peu plus athlétique. Possibilité de descendre et récupérer le grand parcours des Buis. Altitude 720m, exposition Ouest (soleil à partir de midi), gaz fort. Niveau AD à D. Durée 45 minutes à 1 heure, approche 5 min, retour 10 min. Gare SNCF Tenay-Hauteville à proximité."
"48","Via Ferrata La Pierre Ronde (Gorges de Sarenne) - Découverte","Via ferrata de l'Alpe d'Huez proposant un itinéraire ""Découverte"" de niveau PD dans les Gorges de Sarenne. Parcours assez long avec 200 mètres de dénivelé au départ de 1600m d'altitude, exposé plein Sud. Ce parcours permet une belle initiation dans un environnement de falaise avec un gaz fort offrant des sensations aériennes. Durée d'ascension : 2 heures. La via se situe dans le magnifique cadre de l'Oisans avec marche d'approche nécessitant un petit effort. Idéal pour les débutants souhaitant découvrir l'activité dans un cadre alpin exceptionnel. Ouvert du 1er juin au 31 octobre. Guide Via ferrata et Escalade en Oisans disponible à l'office de tourisme."
"49","Via Ferrata La Pierre Ronde (Gorges de Sarenne) - Sportive","Via ferrata de l'Alpe d'Huez proposant un itinéraire ""Sportive"" de niveau D+ dans les Gorges de Sarenne. Parcours assez long et technique avec 200 mètres de dénivelé au départ de 1600m d'altitude, exposé plein Sud. Ce parcours sportif offre des passages plus engagés dans un environnement de falaise avec un gaz fort procurant de belles sensations aériennes. Durée d'ascension : 2h30. La via se situe dans le magnifique cadre de l'Oisans avec marche d'approche nécessitant un petit effort. Réservé aux pratiquants confirmés recherchant un défi technique dans un cadre alpin exceptionnel. Ouvert du 1er juin au 31 octobre. Guide Via ferrata et Escalade en Oisans disponible à l'office de tourisme."
"50","Via Ferrata L'Horloge","Via ferrata très courte de 150 mètres adaptée aux enfants à partir de 10 ans, située dans un environnement mixte de ville et falaise. Parcours rapide avec seulement 50 mètres de dénivelé entre 1000m et 1050m d'altitude sur rocher calcaire en exposition Est. Durée d'ascension inférieure à 30 minutes avec approche facile de 5 minutes. Niveau PD+ avec gaz faible. ATTENTION : malgré sa courte longueur et sa cotation accessible, la sortie du parcours est athlétique et pas si facile. Bien équiper les enfants en conséquence et être sûr de leurs capacités avant de s'engager. Le retour se fait en 10 minutes avec 20 mètres de câble pour descendre la falaise (garder le baudrier). Gare SNCF de L'Argentière-les-Ã‰crins à quelques minutes à pied. Bureau des guides des Ã‰crins disponible pour encadrement."
"51","Via Ferrata de Roqueprins","Via ferrata se développant dans un cadre exceptionnel et vertigineux avec vue permanente sur le superbe village de La Canourgue situé 350 mètres plus bas. Le parcours débute par une descente verticale d'une trentaine de mètres en zigzag pour atteindre le premier monolithe Est. Deux itinéraires (facile AD et difficile D) sont proposés et se rejoignent pour accéder à une grande passerelle de 30 mètres. L'itinéraire contourne le monolithe central imposant pour arriver au départ du long pont népalais de 35 mètres. Dans la traversée du rocher central, l'itinéraire difficile descend puis remonte dans un filet vertical de 11 mètres avant de rejoindre le parcours facile. Deux options de sortie : ponts de singe (facile) ou pont népalais puis pont de singe (difficile). Tyrolienne facultative avec poulie rapide (speed). Durée environ 2h, dénivelé 90m, altitude 800m, exposition Nord-Est. Conception Antipodes 2010-2011. Location matériel : Loc Via 48 (15â‚¬/demi-journée)."
"52","Via Ferrata Les Saix de Miolène - Le Cabri (1er tronçon)","Premier tronçon ""Le Cabri"" de la via ferrata des Saix de Miolène dans la Vallée d'Abondance, terre d'histoire aux paysages en mosaïque. Parcours de 350 mètres de niveau AD+ en exposition Sud-Est, accessible aux adultes et enfants de minimum 1m40. L'itinéraire évolue dans une face aérienne avec passages rocheux formés d'une succession de vires, de dièdres et de surplombs. Grande traversée endurante et aérienne sur grandes dalles lisses à montée directe. Gaz fort de 200m dans le dos. Durée 1h30 à 2h (retour 20-30 min), accès en 15 min par le sentier du menhir depuis parking RD 22. Peut être enchaîné avec les tronçons Le Chamois et Le Bouquetin. 2 échappatoires disponibles. Location matériel chez Bouvet Sport (Abondance) ou Trincaz Sports (La Chapelle d'Abondance)."
"53","Via Ferrata Les Saix de Miolène - Le Chamois (2ème tronçon)","Deuxième tronçon ""Le Chamois"" de la via ferrata des Saix de Miolène, parcours sportif de niveau TD (très difficile) à aborder par des ferratistes accomplis ou encadrés. Nombreux passages athlétiques soutenus avec surplombs courts et dévers prolongés assez tire-bras, gaz fort de 200m dans le dos. Longueur cumulée avec Le Cabri : 700m. Exposition Sud-Est sur face aérienne. Via intéressante dans le genre sportif avec progression sur grandes dalles lisses. Taille minimum 1m40. Durée cumulée 2-3h (retour 25-35 min), accès 15 min par sentier du menhir. Peut être précédé du tronçon Le Cabri et suivi du Bouquetin. 2 échappatoires disponibles. Location matériel chez Bouvet Sport (Abondance) ou Trincaz Sports (La Chapelle d'Abondance)."
"54","Via Ferrata Les Saix de Miolène - Le Bouquetin (3ème tronçon)","Troisième et dernier tronçon ""Le Bouquetin"" de la via ferrata des Saix de Miolène, parcours très sportif de niveau TD (très difficile) à aborder par des ferratistes accomplis ou encadrés. Nombreux passages athlétiques très soutenus avec surplombs courts et dévers prolongés assez tire-bras. Particulièrement aérien en fin de parcours sur grandes dalles bien lisses à montée directe avec gaz fort de 200m dans le dos. Longueur totale cumulée : 900m. Exposition Sud-Est. Taille minimum 1m40. Durée cumulée complète 3-5h (retour 30-45 min), accès 15 min par sentier du menhir. Progressive dans la difficulté des 3 tronçons. Via intéressante dans le genre sportif : grande traversée endurante et très aérienne. 2 échappatoires disponibles. Location matériel chez Bouvet Sport (Abondance) ou Trincaz Sports (La Chapelle d'Abondance)."
"55","Via Ferrata Yves Pollet-Villard","Via ferrata offrant découverte et ambiance montagne au Col des Aravis. Parcours assez long de 700 mètres avec 300 mètres de dénivelé entre 1500m et 1800m d'altitude, de niveau D avec un passage D+ en sortie. Le parcours évolue dans un environnement de falaise et forêt avec un gaz fort offrant des sensations aériennes remarquables. Durée totale de 3h à 4h incluant 20 minutes de marche d'approche et 45 minutes de retour. Réservé aux pratiquants confirmés. Parking situé sur la route du Col des Aravis. IMPORTANT : Par arrêté préfectoral, la via ferrata est interdite du 15 novembre au 5 mai. En dehors de cette période, elle peut également être fermée si la visite de contrôle n'a pas été effectuée ou si un enneigement trop important rend le retour dangereux. Vérifier auprès de l'office de tourisme avant de partir."
"56","Via Ferrata Les Gorges d'Agnielles - Facile","Via ferrata des Gorges d'Agnielles, parcours facile de 500 mètres composé de deux itinéraires dans un environnement exceptionnel de falaise, grottes et forêt. Le parcours débute par un petit mur et suit une grande vire aérienne avant de passer à travers 2 grottes. On atteint ensuite la vire aérienne des hirondelles (échappatoire possible avec rappel de 20m). Le parcours franchit un mur vertical puis une dernière traversée gazeuse permettant de sortir de l'itinéraire (rappel possible de 30m) qui ramène vers la piste par des câbles. Descente de 20 minutes en continuant vers la droite (est). Dénivelé de 50 mètres entre 828m et 878m d'altitude, exposition Est. Durée d'ascension : 1 heure environ, approche facile de 10 minutes. Gaz moyen. Gares SNCF à proximité : Aspres-sur-Buëch et Veynes-Dévoluy."
"57","Via Ferrata Les Gorges d'Agnielles - Sportif","Via ferrata des Gorges d'Agnielles, parcours sportif de 300 mètres de niveau TD composé de deux itinéraires dans un environnement exceptionnel de falaise, grottes et forêt. Le parcours débute par un petit mur et suit une grande vire aérienne avant de passer à travers 2 grottes. On atteint ensuite la vire aérienne des hirondelles (échappatoire possible avec rappel de 20m). Le parcours sportif franchit un mur vertical puis une dernière traversée gazeuse permettant de sortir de l'itinéraire (rappel possible de 30m) qui ramène vers la piste par des câbles. Descente de 20 minutes en continuant vers la droite (est). Dénivelé de 50 mètres entre 828m et 878m d'altitude, exposition Est. Durée d'ascension : 1 heure environ, approche facile de 10 minutes. Gaz moyen. Gares SNCF à proximité : Aspres-sur-Buëch et Veynes-Dévoluy."
"58","Via Ferrata Les Mines du Grand Clot","Via ferrata historique exceptionnelle de 2000 mètres entre la combe de Malaval et le plateau d'Emparis. Les parois abruptes de 1000 mètres de roche verticale surplombent la route et la rivière. Ce parcours suit les anciens chemins des mineurs qui extrayaient la galène de mines suspendues au-dessus du vide. Les sentiers taillés et équipés d'une main courante ont été les prémices de la via ferrata en tant que parcours-loisir. La grande échelle (cheminée) de 200m faisait partie du parcours jusqu'en 2016 avant déviation suite à éboulements. Le parcours touche l'entrée de galeries minières avec panneaux d'information historiques tout au long, offrant une aventure culturelle et sportive unique. Niveau D avec gaz fort, 750 mètres de dénivelé entre 1330m et 2080m. Durée totale 5h30 (approche 10 min, retour 1h30). IMPORTANT : Positionner une voiture au village du Chazelet (arrivée) pour éviter 2h de marche supplémentaire."
"59","Via Ferrata La Cascade","Via ferrata de la Cascade offrant une succession de passages ludiques idéale pour une mise en jambe. Le parcours de longueur moyenne propose des ponts de singe au-dessus du canyon, l'ascension de courts ressauts rocheux et des traversées en balcon dominant la vallée. Niveau PD avec gaz faible dans un environnement de forêt et cascade en orientation Sud-Ouest. Parfaitement adaptée aux enfants et débutants avec 2 échappatoires disponibles. Durée de 1h à 1h30 avec retour en 30 à 45 minutes. Approche facile. Située dans le Massif du Taillefer, cette via permet de découvrir l'activité en douceur dans un cadre naturel préservé. Accessible dès qu'il n'y a plus de neige, période favorable d'avril à octobre. Gare SNCF de Jarrie-Vizille à 35 minutes en voiture."
"60","Via Ferrata Le Grand Bec - 1ère partie (Parcours d'arêtes)","Première partie du Grand Bec : parcours d'arêtes ludiques de 550 mètres dans une belle ambiance montagne. Très sportif pour personnes ayant déjà pratiqué la via ferrata. Succession de courtes escalades rocheuses et de cheminements sur sentier offrant de beaux points de vue sur la station et les massifs environnants. Véritable randonnée à ne pas sous-estimer avec 200 mètres de dénivelé jusqu'à 1950m d'altitude. Niveau AD+ dans environnement de haute montagne et forêt avec gaz fort. Durée 4 à 5 heures avec retour. Marche d'approche difficile. Peut être enchaîné avec la 2ème partie plus aérienne menant au sommet du Grand Bec à 2080m. Période favorable : mai à octobre selon enneigement. Contacter l'office de tourisme pour connaître l'accessibilité. Gare SNCF Jarrie-Vizille à 35 minutes."
"61","Via Ferrata Le Grand Bec - 2ème partie (Itinéraire aérien)","Deuxième partie du Grand Bec : itinéraire varié et très aérien de 200 mètres dans de grandes dalles ocre et noir. Très sportif réservé aux confirmés avec gaz omniprésent tout au long de l'itinéraire et sortie mémorable au milieu des surplombs. Niveau D+ avec gaz fort et 130 mètres de dénivelé jusqu'au sommet du Grand Bec à 2080m. Le passage par le sommet du Grand Bec et son belvédère est obligatoire avant de redescendre par le Lac Brouffier. Durée totale de l'itinéraire complet (1ère + 2ème partie) : 5h30 à 7h30. Environnement de haute montagne et forêt, marche d'approche difficile. Période favorable : mai à octobre selon enneigement. Contacter l'office de tourisme pour connaître l'accessibilité. Gare SNCF Jarrie-Vizille à 35 minutes."
"62","Via Ferrata de l'Adret","Via ferrata historique, première à avoir été équipée en Savoie. Parcours de 450 mètres de niveau D (difficile) avec enchaînement d'échelles suspendues puis une passerelle menant à une belle descente en rocher, le tout dans le cadre magnifique de la cascade de la Chal. Dénivelé de 150 mètres entre 550m et 700m d'altitude dans un environnement de cascade avec gaz moyen. Durée 1h30 avec approche facile de 15 minutes et retour en 10 minutes. Réservé aux pratiquants confirmés. IMPORTANT : Depuis 2018, par arrêté de sécurité, le deuxième segment dit ""du Bastion"" est fermé pour une durée indéterminée. Seule la première partie dite ""de la Passerelle"" reste accessible au public. Ouvert du 1er avril au 30 novembre en fonction des conditions climatiques."
"63","Via Ferrata Les Balcons de l'Orb - Inférieure","Via ferrata inférieure des Balcons de l'Orb offrant des vues magnifiques sur la vallée de l'Orb. Parcours court de niveau PD d'une durée de 30 minutes avec un pont de singe, dans un environnement forestier au départ de 340m d'altitude. Gaz faible, idéale pour les débutants. Accessible aux enfants de taille minimale de 1,40m (les enfants de moins de 40 kg doivent être encordés). Située à proximité du rocher d'escalade du Caussanel (32 voies de 4c à 6c+). Accès par le hameau du Bousquet de la Balme entre Bédarieux et La Tour sur Orb. Temps d'accès et retour : 20 minutes chacun. Accès gratuit toute l'année. Peut être combinée avec la via ferrata supérieure. Location matériel chez Arbre et Aventure (Bédarieux) ou gîte Lou Castelou (Dio). Gare SNCF Bédarieux à 10 min."
"64","Via Ferrata Les Balcons de l'Orb - Supérieure","Via ferrata supérieure des Balcons de l'Orb offrant des vues magnifiques sur la vallée de l'Orb. Parcours de niveau AD d'une durée de 1h30 avec pont de singe, pont tibétain, passerelle et tyrolienne (poulie rapide/speed), dans un environnement forestier au départ de 340m d'altitude. Gaz faible. Accessible aux enfants de taille minimale de 1,40m (les enfants de moins de 40 kg doivent être encordés). Située à proximité du rocher d'escalade du Caussanel (32 voies de 4c à 6c+). Accès par le hameau du Bousquet de la Balme entre Bédarieux et La Tour sur Orb. Temps d'accès et retour : 20 minutes chacun. Accès gratuit toute l'année. Peut être combinée avec la via ferrata inférieure. Location matériel chez Arbre et Aventure (Bédarieux) ou gîte Lou Castelou (Dio). Gare SNCF Bédarieux à 10 min."
"65","Via Ferrata Le Col de la Madeleine","Ancienne via cordata transformée en via ferrata ludique et accessible par l'ajout d'une ligne de vie continue. Parcours de 400 mètres de niveau AD avec 100 mètres de dénivelé entre 1720m et 1820m d'altitude, situé sur l'ancienne route qui mène au col de la Madeleine en direction de Bessans. Le parcours offre des passages latéraux généralement simples avec quelques passages raides, en exposition Sud. Durée inférieure à 1h30 avec marche d'approche facile et retour en moins de 20 minutes. Via ferrata ludique adaptée aux pratiquants entraînés dans un environnement de falaise et forêt avec gaz faible. Accessible du 15 mai au 31 octobre sous réserve de conditions météo favorables. Bureau de Lanslevillard disponible pour informations complémentaires."
"66","Via Ferrata Le Pichet","Via ferrata courte de 350 mètres de niveau AD à 1600m d'altitude maximum, située sous la falaise du Pichet. Le parcours débute par un sentier puis une échelle de 9 mètres (peut être évitée par un chemin balisé), suivi d'une traversée jusqu'au pied d'une dalle, ascension de la dalle, seconde traversée jusqu'à une passerelle puis retour. Exposition Sud/Sud-Est avec gaz faible. Durée approximative 1h30 avec temps d'accès de 15 minutes et retour en 15 minutes. Marche d'approche nécessitant un petit effort. Située en environnement de falaise, accessible depuis Val Cenis le Haut par chemin de terre. Accès libre toute l'année selon conditions météo. Bureau de Lanslevillard disponible pour informations complémentaires."
"67","Via Ferrata La Tour du Jallouvre - 1ère partie (jusqu'à Sortie à Fred)","Première partie de la Tour du Jallouvre : parcours long et exigeant avec variante Eterlou de 500m plus accessible. Après 20-30 minutes de marche, cheminement en traversée ascendante à gauche avec succession de terrasses en bon rocher menant à l'Arche du Bouquetin. Le passage clé est le dévers du ""Cul Tourné"" : léger dévers franchi par petits échelons avec gestes d'escalade. Deux variantes : passage à Coco (AD) ou dévers du Cul Tourné (D+). Après montée rocheuse et cheminement facile, traversée vers la Tour. Possibilité d'interruption par ""Sortie à Fred"" : vire commode puis courte descente sur échelons (garder équipement pour main courante au retour). Ambiance aérienne et minérale en haute montagne. Durée 2h-3h, dénivelé 450m. Gaz fort. Difficulté liée à longueur et retour délicat en début saison."
"68","Via Ferrata La Tour du Jallouvre - 2ème partie (accès à la Tour)","Deuxième partie de la Tour du Jallouvre de niveau D+ : 1100 mètres au total avec ambiance très aérienne et minérale. L'accès à la Tour s'effectue par la passerelle du Gypaète de 16 mètres très aérienne, dominée par le beau pilier raide ""le Pilier des Courants d'Air"" procurant de très fortes sensations. Grande traversée rocheuse bordant la face ponctuée par une passerelle sur demi-tronc de mélèze pouvant créer quelques émotions. Une grande arête facile et esthétique donne accès au sommet de la Tour à 2000m. Durée totale parcours complet : 5-6h (montée + descente). DIFFICULTÃ‰ liée à longueur importante de l'itinéraire, engagement après franchissement passerelle et retour délicat en début saison. Dénivelé total 590m en haute montagne, exposition Sud-Ouest, gaz fort."
"69","Via Ferrata Le Rocher de Moïse","Via ferrata située sur versant Ouest du causse de Mende, orientée face Ouest au regard du Lot puis face Sud. Le parcours se développe horizontalement pour atteindre une cavité rocheuse où 2 parcours se présentent : un facile (PD) et un difficile (D). Le parcours difficile emprunte une lucarne puis un tracé vertical de 6m sollicitant fortement les bras avant de rejoindre le parcours facile. L'itinéraire devient commun jusqu'à la base d'un pilier de 30 mètres. Le parcours difficile dessine un tracé vertical pour sortir à son sommet, tandis que le parcours facile reste horizontal pour atteindre la tyrolienne de 35m. Le parcours comprend un pont népalais, un pont de singe et 2 tyroliennes (aller/retour sur même secteur, poulies speed). Durée 2h-3h, dénivelé 50m (890m-940m), gaz moyen. Accès pédestre 25 min. Sentier balisé permet retour au parking. Location : Loc Via 48 (15â‚¬/demi-journée). Gare SNCF Mende à 10 min."
"70","Via Ferrata Le Boffi","Via ferrata sur les falaises du Causse Noir au-dessus des Gorges de la Dourbie offrant une vue spectaculaire sur le viaduc de Millau et le plateau du Larzac. Parcours assez long de 800 mètres avec 80 mètres de dénivelé entre 365m et 445m, proposant deux niveaux PD et TD. Très aérienne mais ludique selon parcours choisi. Parcours récemment rénovés avec filet de 20m de haut procurant la sensation d'être suspendu dans le vide. Comprend 2 tyroliennes : une de 75m (évitable par passerelle ou sentier) et une de 90m (évitable par sentier), poulies rapides. Gaz fort, expositions variées Nord-Ouest à Sud-Est. En été, privilégier le matin car falaise plein sud. Magnifiques oiseaux présents. Conception Antipodes 2001, modernisée 2015-2016. CRITIQUE : Interdite du 15 mars au 15 juin (nidification espèces protégées). Location Antipodes 20â‚¬. Gare SNCF Millau 25 min."
"71","Via Ferrata La Tour du Jallouvre - Parcours complet (jusqu'à la Tour)","Parcours complet de la Tour du Jallouvre de 1100 mètres (variante Eterlou 500m plus accessible) avec ambiance très aérienne et minérale de niveau AD à D+. L'accès à la Tour s'effectue par la passerelle du Gypaète de 16 mètres très aérienne, dominée par le beau pilier raide ""le Pilier des Courants d'Air"" procurant de très fortes sensations. Grande traversée rocheuse bordant la face ponctuée par passerelle sur demi-tronc de mélèze pouvant créer quelques émotions. Grande arête facile et esthétique donne accès au sommet de la Tour à 2000m. RETOUR : Grande traversée dans face du Jallouvre puis couloir raide équipé d'un câble pour arriver à Combe du Rasoir où l'on rejoint bon sentier. ATTENTION neige en début de saison. Durée totale 5-6h (montée+descente). DIFFICULTÃ‰ liée à longueur importante, engagement après passerelle et retour délicat en début saison. Dénivelé total 590m, exposition Sud-Ouest, gaz fort."
"72","Via Ferrata des Juscles - Parcours Découverte","Parcours découverte de la via ferrata des Juscles offrant une magnifique balade perchée sur un plateau rocheux avec vue magnifique et agrès très variés pour le bonheur des via-ferratistes. Parcours de 300 mètres de niveau PD (peu difficile) avec 80 mètres de dénivelé dans un environnement de forêt et grotte. Gaz faible, approche facile, tyrolienne présente. Durée de 1h00 à 1h30. Idéal pour débutants et familles. Taille minimum : 1m40. Enfants de moins de 16 ans doivent être accompagnés. Ã‰quipement obligatoire disponible en location chez Alternatif Shop Le Pertuis (06.50.51.76.38) ou bar du Col du Pertuis (04.71.57.60.79). Possibilité d'encadrement par accompagnateur diplômé pour les groupes. Accessible toute l'année selon météo. Interdite la nuit."
"73","Via Ferrata des Juscles - Parcours Sportif","Parcours sportif de la via ferrata des Juscles offrant une magnifique balade perchée sur un plateau rocheux avec vue magnifique et agrès très variés. Parcours de 550 mètres de niveau AD (assez difficile) avec 150 mètres de dénivelé dans un environnement de forêt et grotte. Gaz faible, approche facile, tyrolienne présente. Durée de 1h30 à 2h00. Réservé aux pratiquants entraînés. Taille minimum : 1m40. Enfants de moins de 16 ans doivent être accompagnés. Ã‰quipement obligatoire disponible en location chez Alternatif Shop Le Pertuis (06.50.51.76.38) ou bar du Col du Pertuis (04.71.57.60.79). Possibilité d'encadrement par accompagnateur diplômé pour les groupes. Accessible toute l'année selon météo. Interdite la nuit."
"74","Via Ferrata de Fort l'Ã‰cluse","Via ferrata de 400 mètres de niveau AD (parfois D) offrant une sortie sans trop de difficultés avec vue splendide sur le Rhône et le défilé de l'Ã‰cluse. L'itinéraire se déroule dans la raide paroi calcaire qui sépare le fort inférieur du fort supérieur, ajoutant un intérêt historique au parcours. Après courte marche d'approche, progression successive sur ressauts plus ou moins raides entrecoupés de vires et terrasses confortables pour parvenir au pied de la muraille du fort supérieur parcourue sur bonne vire jusqu'au fossé sous le pont levis. Le franchissement du fossé s'effectue par un pont de singe de 15 mètres. On parvient à la route d'accès au fort (interdite à la circulation) par très courte remontée. Dénivelé 150m entre 430m et 580m, gaz moyen. Durée 1h30, accès 5 min, retour 20 min par sentier. IMPORTANT : Interdite par temps orageux, enneigement ou de nuit. Gares SNCF Bellegarde et Valleiry."
"75","Via Ferrata La Cascade","Via ferrata sportive de 400 mètres de niveau D+ voire TD avec 150 mètres de dénivelé entre 1700m et 1850m d'altitude sur rocher calcaire en exposition Est. Itinéraire sportif dans un environnement de falaise et forêt avec gaz fort. Le parcours comprend une passerelle et propose deux échappatoires permettant de réduire l'engagement selon les capacités. Durée d'ascension environ 2 heures avec marche d'approche de 30 minutes depuis le parking à 1640m et retour en 30 minutes. Réservé aux pratiquants confirmés. Encadrement possible avec le Bureau des guides d'Embrun. Location d'équipement disponible aux Orres 1650 (Intersport, Sport 2000, Le Zappeur) et aux Orres 1800 (Intersport, Skimium, Ski Set). Accessible du 1er mai au 31 octobre."
"76","Via Ferrata La Marcellinas","Via ferrata petite sÅ“ur de La Cascade avec un parcours moins sportif et plus découverte. Parcours court de 300 mètres de niveau PD à AD (initiation/intermédiaire) avec 80 mètres de dénivelé entre 1840m et 1920m d'altitude sur rocher calcaire en exposition Est. Idéale pour l'initiation et la découverte dans un environnement de falaise et forêt avec gaz moyen. Le parcours comprend 2 câbles de pieds et 1 passerelle. Durée d'ascension environ 2 heures (en général moins) avec marche d'approche de 30 minutes depuis le parking à 1640m. Adaptée aux débutants et pratiquants entraînés. Encadrement possible avec le Bureau des guides d'Embrun. Location d'équipement disponible aux Orres 1650 (Intersport, Sport 2000, Le Zappeur) et aux Orres 1800 (Intersport, Skimium, Ski Set). Accessible du 1er mai au 31 octobre."
"77","Via Ferrata Les Vigneaux - Le Colombier","Via ferrata historique et très aérienne au Pays des Ã‰crins. Parcours Le Colombier de niveau AD, plus accessible. Première partie commune avec La Balme : progression ascendante vers la gauche amenant à un mur raide assez athlétique, débouchant sur une vire où se divisent les 2 itinéraires. Le Colombier traverse à gauche pour rejoindre une échelle métallique. Un dernier passage aérien sur le fil du pilier donne accès au dièdre terminal. Continuer le chemin jusqu'à la piste forestière. Dénivelé 200m entre 1300m et 1500m, parking à 1100m. Rocher calcaire, exposition Sud, gaz fort. Durée 2h avec approche difficile et raide de 25 minutes, retour 40 min. Haute montagne réservée aux pratiquants entraînés. Encadrement : Bureaux des guides des Ã‰crins ou Vallouise. Gare SNCF L'Argentière-les-Ã‰crins."
